id,fid,X,Y
1,1,5055197.24573225,4006352.57807525
2,1,5055249.16980957,4006139.08596097
3,1,5054987.55791754,4006519.16248502
4,2,5036992.30901517,3999628.74031
5,3,5031603.26247837,3992049.06366431
6,3,5034790.90663578,3987763.51990472
7,4,5027609.35877284,3971119.23339379
8,4,5026651.68099247,3968688.714779
9,5,5050369.39140218,4034460.2803885
10,5,5052288.25038405,4033777.40116852
11,5,5052707.43747798,4033079.76937321
12,6,5038910.38521053,4055247.98842623
13,6,5040356.58344748,4054268.26000731
14,7,5189954.67765008,4062837.80825968
15,7,5189257.40284474,4062720.86107416
16,7,5189305.67520611,4062677.90005822
17,7,5189569.8685592,4061472.86478566
18,8,5197212.77333963,4042418.38764844
19,8,5196459.22262153,4041868.85482047
20,9,5051712.27914278,3991062.52892193
21,9,5052467.71466251,3991060.68366231
22,9,5051674.96446801,3991949.05334707
23,9,5051903.61974712,3992136.44992021
24,10,5137744.57689186,4119321.43976451
25,10,5137714.47348758,4119464.97116926
26,10,5137882.6637058,4120421.66312387
27,11,5173418.58272357,4109820.35296897
28,11,5173318.507924,4109699.97201795
29,12,5279061.16620135,4112305.49095494
30,12,5281625.87504191,4117324.20419223
31,12,5281527.38383778,4118206.72611708
32,13,5311715.12843707,4144255.00601967
33,14,5172094.03568126,4069791.69441593
34,15,5139442.71755582,3973167.29927123
35,15,5139196.52380763,3972911.56766603
36,16,5217745.73407447,4147016.85111584
